workload,metric,rocket_sim,rocket_hw,boom_sim,boom_hw
Dependent,cycles,2100072,2100178,1800149,1800188
Dependent,instructions,1800009,1800009,1800009,1800009
Dependent,ipc,0.857,0.857,0.999,0.999
ILP,cycles,1300074,1300068,1000161,1000131
ILP,instructions,1000023,1000022,1000023,1000022
ILP,ipc,0.769,0.769,0.999,0.999
CRC32,cycles,24082,24082,17795,17797
CRC32,instructions,17677,17677,17677,17677
CRC32,result,0x7F7E1AF9,0x7F7E1AF9,0x7F7E1AF9,0x7F7E1AF9
Matrix,cycles,39503006,39503151,6995257,6995224
Matrix,instructions,6990640,6990640,6990640,6990640
Matrix,ipc,0.176,0.176,0.999,0.999
Matrix,checksum,0x53846D4F,0x53846D4F,0x53846D4F,0x53846D4F
